decision_at,day,net,cumnet
2026-08-20 14:35:00+00:00,2026-08-20,-1.0,140.88223442953804
2026-08-20 14:35:00+00:00,2026-08-20,-1.0,139.88223442953804
2026-08-20 14:35:00+00:00,2026-08-20,-1.0,138.88223442953804
2026-08-20 14:50:00+00:00,2026-08-20,3.7125353440150803,142.59476977355314
2026-08-20 14:50:00+00:00,2026-08-20,3.1059836499731057,145.70075342352624
2026-08-20 16:35:00+00:00,2026-08-20,-1.0,144.70075342352624
2026-08-20 20:55:00+00:00,2026-08-20,3.289783451731357,147.9905368752576
2026-08-20 21:50:00+00:00,2026-08-20,1.7979228220968757,149.78845969735445
2026-08-20 22:20:00+00:00,2026-08-20,1.8807900278572394,151.6692497252117
2026-08-20 22:50:00+00:00,2026-08-20,1.7197932957095263,153.38904302092124
2026-08-20 23:55:00+00:00,2026-08-20,1.7979228220968753,155.1869658430181
2026-08-21 00:40:00+00:00,2026-08-21,-1.0,154.1869658430181
2026-08-21 00:40:00+00:00,2026-08-21,-1.0,153.1869658430181
2026-08-21 00:55:00+00:00,2026-08-21,2.162555344718532,155.34952118773663
2026-08-21 01:20:00+00:00,2026-08-21,-1.0,154.34952118773663
2026-08-21 02:05:00+00:00,2026-08-21,-1.0,153.34952118773663
2026-08-21 03:40:00+00:00,2026-08-21,2.0625713961956738,155.4120925839323
2026-08-21 03:50:00+00:00,2026-08-21,-1.0,154.4120925839323
2026-08-21 04:20:00+00:00,2026-08-21,1.7197932957095263,156.13188587964183
2026-08-21 04:20:00+00:00,2026-08-21,3.9572929214814385,160.08917880112327
2026-08-21 04:43:00+00:00,2026-08-21,-1.0,159.08917880112327
2026-08-21 04:50:00+00:00,2026-08-21,-1.0,158.08917880112327
2026-08-21 04:50:00+00:00,2026-08-21,-1.0,157.08917880112327
2026-08-21 05:20:00+00:00,2026-08-21,1.8807900278572398,158.9699688289805
2026-08-21 05:35:00+00:00,2026-08-21,4.875164504606128,163.84513333358663
2026-08-21 05:35:00+00:00,2026-08-21,1.6460066467686967,165.4911399803553
2026-08-21 06:20:00+00:00,2026-08-21,-1.0,164.4911399803553
2026-08-21 06:50:00+00:00,2026-08-21,-1.0,163.4911399803553
2026-08-21 07:05:00+00:00,2026-08-21,-1.0,162.4911399803553
2026-08-21 07:05:00+00:00,2026-08-21,-1.0,161.4911399803553
2026-08-21 07:05:00+00:00,2026-08-21,-1.0,160.4911399803553
2026-08-21 07:05:00+00:00,2026-08-21,-1.0,159.4911399803553
2026-08-21 11:25:00+00:00,2026-08-21,-1.0,158.4911399803553
2026-08-21 12:50:00+00:00,2026-08-21,-1.0,157.4911399803553
2026-08-21 13:20:00+00:00,2026-08-21,-1.0,156.4911399803553
2026-08-21 13:40:00+00:00,2026-08-21,2.937503937503938,159.42864391785926
2026-08-21 18:20:00+00:00,2026-08-21,1.576210754649416,161.00485467250869
2026-08-22 00:50:00+00:00,2026-08-22,2.6394339952250623,163.64428866773375
2026-08-22 03:10:00+00:00,2026-08-22,-1.0,162.64428866773375
2026-08-22 05:55:00+00:00,2026-08-22,-1.0,161.64428866773375
2026-08-22 07:40:00+00:00,2026-08-22,3.1059836499731057,164.75027231770684
2026-08-22 09:35:00+00:00,2026-08-22,2.506963075185781,167.25723539289262
2026-08-22 14:50:00+00:00,2026-08-22,-1.0,166.25723539289262
2026-08-22 15:05:00+00:00,2026-08-22,2.506963075185781,168.7641984680784
2026-08-22 15:05:00+00:00,2026-08-22,3.289783451731357,172.05398191980976
2026-08-22 15:05:00+00:00,2026-08-22,3.9572929214814385,176.0112748412912
2026-08-22 16:10:00+00:00,2026-08-22,-1.0,175.0112748412912
2026-08-22 17:40:00+00:00,2026-08-22,-1.0,174.0112748412912
2026-08-22 21:25:00+00:00,2026-08-22,-1.0,173.0112748412912
2026-08-22 23:10:00+00:00,2026-08-22,3.7125353440150812,176.7238101853063
2026-08-22 23:13:00+00:00,2026-08-22,4.229250334672019,180.95306051997832
2026-08-22 23:25:00+00:00,2026-08-22,-1.0,179.95306051997832
2026-08-23 00:55:00+00:00,2026-08-23,4.229250334672019,184.18231085465035
2026-08-23 01:20:00+00:00,2026-08-23,-1.0,183.18231085465035
2026-08-23 01:55:00+00:00,2026-08-23,3.7125353440150812,186.89484619866545
2026-08-23 03:20:00+00:00,2026-08-23,2.0625713961956733,188.9574175948611
2026-08-23 04:10:00+00:00,2026-08-23,3.9572929214814367,192.91471051634255
2026-08-23 05:10:00+00:00,2026-08-23,-1.0,191.91471051634255
2026-08-23 05:10:00+00:00,2026-08-23,-1.0,190.91471051634255
2026-08-23 06:13:00+00:00,2026-08-23,14.56468683850081,205.47939735484337
